W,q,Q,cth,t,ds,stat,syst+,syst-,obs,unit,experiment
3.603341E+00,1.679512E+00,1.512177E+00,1.027012E+00,1.300000E-01,1.160000E+00,1.600000E-01,4.640000E-02,4.640000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.089431E+00,1.500000E-01,7.900000E-01,1.800000E-01,3.160000E-02,3.160000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.068744E+00,1.500000E-01,7.300000E-01,1.600000E-01,2.920000E-02,2.920000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.055904E+00,1.500000E-01,7.700000E-01,1.500000E-01,3.080000E-02,3.080000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.046441E+00,1.500000E-01,8.700000E-01,1.400000E-01,3.480000E-02,3.480000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.039764E+00,1.500000E-01,1.170000E+00,1.700000E-01,4.680000E-02,4.680000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.034795E+00,1.500000E-01,9.300000E-01,1.400000E-01,3.720000E-02,3.720000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.030949E+00,1.500000E-01,1.030000E+00,1.500000E-01,4.120000E-02,4.120000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.099203E+00,1.700000E-01,4.100000E-01,1.500000E-01,1.640000E-02,1.640000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.076661E+00,1.700000E-01,6.500000E-01,1.600000E-01,2.600000E-02,2.600000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.062566E+00,1.700000E-01,8.400000E-01,1.600000E-01,3.360000E-02,3.360000E-02,ds/dt,mb/GeV2,desy094
3.144482E+00,1.432257E+00,1.229943E+00,1.052118E+00,1.700000E-01,6.200000E-01,1.300000E-01,2.480000E-02,2.480000E-02,ds/dt,mb/GeV2,desy094
3.304522E+00,1.519056E+00,1.330685E+00,1.044711E+00,1.700000E-01,8.700000E-01,1.500000E-01,3.480000E-02,3.480000E-02,ds/dt,mb/GeV2,desy094
3.457161E+00,1.601257E+00,1.424324E+00,1.039179E+00,1.700000E-01,9.100000E-01,1.500000E-01,3.640000E-02,3.640000E-02,ds/dt,mb/GeV2,desy094
3.603341E+00,1.679512E+00,1.512177E+00,1.034886E+00,1.700000E-01,9.000000E-01,1.500000E-01,3.600000E-02,3.600000E-02,ds/dt,mb/GeV2,desy094
2.641803E+00,1.154281E+00,8.864897E-01,1.108976E+00,1.900000E-01,9.000000E-01,2.800000E-01,3.600000E-02,3.600000E-02,ds/dt,mb/GeV2,desy094
2.813786E+00,1.250457E+00,1.010111E+00,1.084578E+00,1.900000E-01,9.700000E-01,2.200000E-01,3.880000E-02,3.880000E-02,ds/dt,mb/GeV2,desy094
2.975847E+00,1.340007E+00,1.120182E+00,1.069228E+00,1.900000E-01,5.500000E-01,1.400000E-01,2.200000E-02,2.200000E-02,ds/dt,mb/GeV2,desy094
