CLAS physics database search results
Measurement E63M1

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
2.315	0.37	0.0984	0.0088
2.315	0.42	0.1166	0.0101
2.315	0.47	0.1405	0.012
2.315	0.53	0.1777	0.0141
2.315	0.57	0.2016	0.0163
2.315	0.62	0.235	0.0186
2.315	0.67	0.3102	0.0233
2.315	0.72	0.3844	0.0292
2.315	0.78	0.4456	0.0326
2.315	0.82	0.4953	0.0353
2.315	0.88	0.6952	0.0496
2.315	0.92	0.5333	0.0574
2.315	-0.8	0.0331	0.0074
2.315	-0.7	0.0267	0.005
2.315	-0.6	0.0314	0.0048
2.315	-0.5	0.0409	0.0053
2.315	-0.4	0.036	0.0046
2.315	-0.3	0.0338	0.004
2.315	-0.2	0.033	0.0039
2.315	-0.1	0.0278	0.0034
2.315	0	0.0337	0.0035
2.315	0.1	0.0408	0.0037
2.315	0.2	0.0595	0.0046
2.315	0.3	0.0796	0.0054
2.325	0.37	0.1036	0.009
2.325	0.42	0.1502	0.0115
2.325	0.47	0.1539	0.012
2.325	0.53	0.206	0.0152
2.325	0.57	0.2215	0.0178
2.325	0.62	0.2707	0.0218
2.325	0.67	0.3219	0.024
2.325	0.72	0.4158	0.0289
2.325	0.78	0.4793	0.0331
2.325	0.82	0.5621	0.0391
2.325	0.88	0.7477	0.0527
2.325	0.93	0.599	0.2009
2.325	-0.8	0.0236	0.0063
2.325	-0.7	0.0304	0.0053
2.325	-0.6	0.0331	0.0049
2.325	-0.5	0.0286	0.0043
2.325	-0.4	0.0438	0.0052
2.325	-0.3	0.0305	0.0038
2.325	-0.2	0.0232	0.0032
2.325	-0.1	0.0273	0.0032
2.325	0	0.0351	0.0036
2.325	0.1	0.0409	0.0038
2.325	0.2	0.0625	0.0048
2.325	0.3	0.0841	0.0056
2.335	0.37	0.1133	0.0099
2.335	0.42	0.1394	0.0113
2.335	0.47	0.1652	0.013
2.335	0.53	0.1913	0.0146
2.335	0.57	0.2238	0.0181
2.335	0.62	0.2339	0.0189
2.335	0.67	0.3519	0.0257
2.335	0.72	0.3819	0.0269
2.335	0.78	0.5237	0.036
2.335	0.82	0.6075	0.0404
2.335	0.88	0.7501	0.0557
2.335	0.92	0.7377	0.1158
2.335	-0.8	0.041	0.0173
2.335	-0.7	0.0259	0.0053
2.335	-0.6	0.0288	0.0046
2.335	-0.5	0.0377	0.0052
2.335	-0.4	0.0315	0.0044
2.335	-0.3	0.0261	0.0035
2.335	-0.2	0.0301	0.0037
2.335	-0.1	0.03	0.0036
2.335	0	0.0331	0.0035
2.335	0.1	0.0428	0.0038
2.335	0.2	0.0573	0.0046
2.335	0.3	0.0836	0.0056
2.345	0.37	0.1043	0.0093
2.345	0.42	0.1229	0.0108
2.345	0.47	0.1546	0.0127
2.345	0.53	0.1844	0.0149
2.345	0.57	0.2244	0.0184
2.345	0.62	0.2678	0.0226
2.345	0.67	0.3062	0.0236
2.345	0.72	0.3653	0.0268
2.345	0.78	0.4862	0.0346
2.345	0.82	0.6213	0.0439
2.345	0.88	0.7308	0.0522
2.345	0.92	0.7467	0.1101
2.345	-0.8	0.037	0.0083
2.345	-0.7	0.0279	0.0052
2.345	-0.6	0.0224	0.0041
2.345	-0.5	0.0247	0.0039
2.345	-0.4	0.0248	0.0038
2.345	-0.3	0.0233	0.0032
2.345	-0.2	0.0276	0.0035
2.345	-0.1	0.0291	0.0034
2.345	0	0.0364	0.0039
2.345	0.1	0.0404	0.0038
2.345	0.2	0.0659	0.0051
2.345	0.3	0.0845	0.0057
2.355	0.37	0.1075	0.0095
2.355	0.42	0.1322	0.0107
2.355	0.47	0.1796	0.0135
2.355	0.53	0.1784	0.0144
2.355	0.57	0.2376	0.0196
2.355	0.62	0.3018	0.0228
2.355	0.67	0.3453	0.0244
2.355	0.72	0.4285	0.0308
2.355	0.78	0.4767	0.0354
2.355	0.82	0.6418	0.046
2.355	0.88	0.834	0.06
2.355	0.92	0.9396	0.1555
2.355	-0.8	0.0284	0.0068
2.355	-0.7	0.032	0.0054
2.355	-0.6	0.0253	0.0041
2.355	-0.5	0.0243	0.0038
2.355	-0.4	0.0249	0.0037
2.355	-0.3	0.0314	0.0039
2.355	-0.2	0.0244	0.0031
2.355	-0.1	0.0292	0.0034
2.355	0	0.0362	0.0036
2.355	0.1	0.0426	0.0037
2.355	0.2	0.0654	0.0051
2.355	0.3	0.0886	0.0058
2.365	0.37	0.1125	0.0102
2.365	0.42	0.1299	0.0112
2.365	0.47	0.1604	0.0132
2.365	0.53	0.2032	0.016
2.365	0.57	0.216	0.0174
2.365	0.62	0.2945	0.0217
2.365	0.67	0.3559	0.0259
2.365	0.72	0.5027	0.034
2.365	0.78	0.5667	0.0389
2.365	0.82	0.6958	0.0512
2.365	0.88	0.9405	0.0708
2.365	0.92	0.8708	0.1159
2.365	-0.8	0.0193	0.0057
2.365	-0.7	0.0189	0.0043
2.365	-0.6	0.025	0.0042
2.365	-0.5	0.0288	0.0046
2.365	-0.4	0.0268	0.004
2.365	-0.3	0.0241	0.0035
2.365	-0.2	0.0213	0.003
2.365	-0.1	0.0269	0.0033
2.365	0	0.035	0.0037
2.365	0.1	0.047	0.004
2.365	0.2	0.0611	0.0052
2.365	0.3	0.0895	0.0061
2.375	0.37	0.1072	0.0097
2.375	0.42	0.1332	0.0108
2.375	0.47	0.1758	0.0133
2.375	0.53	0.1788	0.0137
2.375	0.57	0.2254	0.0175
2.375	0.62	0.2773	0.0202
2.375	0.67	0.3579	0.0262
2.375	0.72	0.4129	0.0307
2.375	0.78	0.5046	0.0375
2.375	0.82	0.6293	0.0462
2.375	0.88	0.7177	0.0527
2.375	0.92	0.7964	0.0878
2.375	-0.8	0.0166	0.005
2.375	-0.7	0.0174	0.0039
2.375	-0.6	0.025	0.0041
2.375	-0.5	0.0229	0.0038
2.375	-0.4	0.0228	0.0036
2.375	-0.3	0.0257	0.0035
2.375	-0.2	0.023	0.003
2.375	-0.1	0.0257	0.0031
2.375	0	0.0319	0.0034
2.375	0.1	0.0369	0.0034
2.375	0.2	0.0602	0.0047
2.375	0.3	0.0884	0.0057
2.385	0.37	0.1027	0.0092
2.385	0.42	0.124	0.0106
2.385	0.47	0.1389	0.012
2.385	0.53	0.1601	0.014
2.385	0.57	0.2083	0.0173
2.385	0.62	0.2262	0.0184
2.385	0.67	0.3029	0.0233
2.385	0.72	0.37	0.0289
2.385	0.78	0.4357	0.0357
2.385	0.82	0.5952	0.0446
2.385	0.88	0.7016	0.0529
2.385	0.92	0.9299	0.0989
2.385	-0.8	0.0141	0.0068
2.385	-0.7	0.0207	0.0046
2.385	-0.6	0.0208	0.0039
2.385	-0.5	0.0229	0.004
2.385	-0.4	0.0146	0.0028
2.385	-0.3	0.0241	0.0032
2.385	-0.2	0.0243	0.0031
2.385	-0.1	0.0244	0.0031
2.385	0	0.03	0.0032
2.385	0.1	0.0377	0.0036
2.385	0.2	0.0509	0.0042
2.385	0.3	0.0763	0.0053
2.395	0.37	0.0918	0.0087
2.395	0.42	0.1139	0.0104
2.395	0.47	0.1438	0.0131
2.395	0.53	0.1626	0.0146
2.395	0.57	0.2077	0.0176
2.395	0.62	0.2378	0.019
2.395	0.67	0.3259	0.0253
2.395	0.72	0.4044	0.0288
2.395	0.78	0.4919	0.0362
2.395	0.82	0.6193	0.0444
2.395	0.88	0.814	0.0566
2.395	0.92	0.9309	0.1912
2.395	-0.8	0.0163	0.0111
2.395	-0.7	0.0113	0.0034
2.395	-0.6	0.016	0.0036
2.395	-0.5	0.0133	0.0031
2.395	-0.4	0.0152	0.0031
2.395	-0.3	0.0183	0.003
2.395	-0.2	0.0248	0.0034
2.395	-0.1	0.0275	0.0033
2.395	0	0.032	0.0034
2.395	0.1	0.0417	0.0037
2.395	0.2	0.0495	0.0043
2.395	0.3	0.0727	0.0053
2.405	0.37	0.0943	0.0093
2.405	0.42	0.1107	0.0105
2.405	0.47	0.1363	0.0127
2.405	0.53	0.1558	0.0149
2.405	0.57	0.2037	0.0187
2.405	0.62	0.2698	0.0221
2.405	0.67	0.2684	0.0229
2.405	0.72	0.4228	0.0314
2.405	0.78	0.4818	0.037
2.405	0.82	0.6313	0.0464
2.405	0.88	0.893	0.062
2.405	0.92	0.7729	0.0857
2.405	-0.8	0.0127	0.0052
2.405	-0.7	0.0157	0.0042
2.405	-0.6	0.02	0.004
2.405	-0.5	0.0199	0.0039
2.405	-0.4	0.0166	0.0033
2.405	-0.3	0.0179	0.003
2.405	-0.2	0.0196	0.0031
2.405	-0.1	0.0259	0.0033
2.405	0	0.0218	0.0029
2.405	0.1	0.0368	0.0037
2.405	0.2	0.0564	0.0048
2.405	0.3	0.0814	0.0058
2.415	0.37	0.1028	0.0094
2.415	0.42	0.1167	0.0099
2.415	0.47	0.1364	0.0113
2.415	0.53	0.1494	0.0138
2.415	0.57	0.1914	0.0169
2.415	0.62	0.2608	0.0202
2.415	0.67	0.2982	0.0236
2.415	0.72	0.3597	0.0302
2.415	0.78	0.4844	0.0367
2.415	0.82	0.6255	0.0437
2.415	0.88	0.8316	0.0547
2.415	0.92	0.8146	0.0886
2.415	-0.8	0.0143	0.009
2.415	-0.7	0.011	0.0034
2.415	-0.6	0.0159	0.0034
2.415	-0.5	0.0177	0.0036
2.415	-0.4	0.0184	0.0033
2.415	-0.3	0.0202	0.0033
2.415	-0.2	0.0163	0.0026
2.415	-0.1	0.027	0.0033
2.415	0	0.0353	0.0036
2.415	0.1	0.037	0.0035
2.415	0.2	0.0614	0.0049
2.415	0.3	0.0777	0.0056
2.425	0.37	0.0953	0.0089
2.425	0.42	0.1234	0.0107
2.425	0.47	0.1484	0.0122
2.425	0.53	0.174	0.0151
2.425	0.57	0.2175	0.0175
2.425	0.62	0.2789	0.0217
2.425	0.67	0.2952	0.0225
2.425	0.72	0.3974	0.0297
2.425	0.78	0.478	0.037
2.425	0.82	0.6124	0.0427
2.425	0.88	0.9089	0.0583
2.425	0.92	0.99	0.1466
2.425	-0.8	0.0122	0.0044
2.425	-0.69	0.0104	0.0031
2.425	-0.6	0.0162	0.0032
2.425	-0.5	0.016	0.0031
2.425	-0.4	0.0198	0.0035
2.425	-0.3	0.0209	0.003
2.425	-0.2	0.028	0.0034
2.425	-0.1	0.0253	0.003
2.425	0	0.0262	0.0029
2.425	0.1	0.0333	0.0031
2.425	0.2	0.0568	0.0044
2.425	0.3	0.0847	0.0055
2.435	0.37	0.0949	0.009
2.435	0.42	0.1207	0.0104
2.435	0.47	0.1291	0.0113
2.435	0.53	0.1598	0.0144
2.435	0.57	0.2104	0.0178
2.435	0.62	0.2302	0.0191
2.435	0.67	0.2809	0.0228
2.435	0.72	0.3264	0.0276
2.435	0.78	0.5092	0.0383
2.435	0.82	0.6698	0.0465
2.435	0.88	0.8366	0.0545
2.435	0.92	0.892	0.0965
2.435	-0.79	0.0139	0.005
2.435	-0.7	0.0134	0.0037
2.435	-0.6	0.012	0.0028
2.435	-0.5	0.0162	0.0033
2.435	-0.4	0.0158	0.003
2.435	-0.3	0.021	0.0031
2.435	-0.2	0.021	0.0029
2.435	-0.1	0.0237	0.0029
2.435	0	0.0282	0.003
2.435	0.1	0.035	0.0033
2.435	0.2	0.0559	0.0044
2.435	0.3	0.0768	0.0054
2.445	0.37	0.0964	0.0088
2.445	0.42	0.1216	0.0105
2.445	0.47	0.1304	0.0136
2.445	0.53	0.1531	0.0141
2.445	0.57	0.2025	0.0169
2.445	0.62	0.2329	0.019
2.445	0.67	0.2733	0.0228
2.445	0.72	0.3719	0.0287
2.445	0.78	0.4998	0.0376
2.445	0.82	0.6869	0.0484
2.445	0.88	1.0497	0.0644
2.445	0.92	1.1181	0.1091
2.445	-0.8	0.0133	0.0049
2.445	-0.7	0.0085	0.0025
2.445	-0.6	0.0094	0.0023
2.445	-0.5	0.0115	0.0026
2.445	-0.4	0.0148	0.0029
2.445	-0.3	0.0179	0.0028
2.445	-0.2	0.0189	0.0027
2.445	-0.1	0.0235	0.0029
2.445	0	0.0297	0.0031
2.445	0.1	0.0416	0.0036
2.445	0.2	0.0549	0.0045
2.445	0.3	0.0741	0.0053
2.455	0.37	0.0896	0.0084
2.455	0.42	0.1198	0.01
2.455	0.47	0.1268	0.0113
2.455	0.53	0.1533	0.0132
2.455	0.57	0.1853	0.0163
2.455	0.62	0.2281	0.0184
2.455	0.67	0.2518	0.0204
2.455	0.72	0.3774	0.0296
2.455	0.78	0.4708	0.0359
2.455	0.82	0.6861	0.0464
2.455	0.88	0.8143	0.0498
2.455	0.92	1.0405	0.1047
2.455	-0.8	0.0106	0.0062
2.455	-0.7	0.012	0.003
2.455	-0.6	0.0102	0.0024
2.455	-0.5	0.0115	0.0024
2.455	-0.4	0.0118	0.0025
2.455	-0.3	0.0167	0.0026
2.455	-0.2	0.0163	0.0025
2.455	-0.1	0.0162	0.0026
2.455	0	0.0222	0.0026
2.455	0.1	0.035	0.0032
2.455	0.2	0.0539	0.0042
2.455	0.3	0.0757	0.0051
2.465	0.37	0.0905	0.0089
2.465	0.42	0.1052	0.0099
2.465	0.47	0.1302	0.0121
2.465	0.53	0.1333	0.0142
2.465	0.57	0.205	0.0176
2.465	0.62	0.2343	0.019
2.465	0.67	0.3047	0.0249
2.465	0.72	0.3808	0.0294
2.465	0.78	0.4956	0.037
2.465	0.82	0.7332	0.0471
2.465	0.88	0.9405	0.059
2.465	0.92	1.0754	0.0981
2.465	-0.8	0.0124	0.005
2.465	-0.7	0.0104	0.0033
2.465	-0.6	0.0107	0.0027
2.465	-0.5	0.0123	0.0028
2.465	-0.4	0.0139	0.003
2.465	-0.3	0.0148	0.0028
2.465	-0.2	0.0186	0.0029
2.465	-0.1	0.0215	0.0029
2.465	0	0.0275	0.0032
2.465	0.1	0.0354	0.0036
2.465	0.2	0.0554	0.0047
2.465	0.3	0.0752	0.0057
2.475	0.37	0.0801	0.0079
2.475	0.42	0.1122	0.0105
2.475	0.47	0.1142	0.0117
2.475	0.53	0.1521	0.0141
2.475	0.57	0.2127	0.0172
2.475	0.62	0.2658	0.0208
2.475	0.67	0.291	0.0242
2.475	0.72	0.4394	0.0328
2.475	0.78	0.5762	0.0423
2.475	0.82	0.7341	0.0505
2.475	0.88	0.9927	0.064
2.475	0.92	1.4785	0.1511
2.475	-0.79	0.0139	0.0052
2.475	-0.7	0.0116	0.0032
2.475	-0.6	0.0113	0.0028
2.475	-0.5	0.0083	0.0023
2.475	-0.4	0.0141	0.0029
2.475	-0.3	0.0144	0.0026
2.475	-0.2	0.0172	0.0027
2.475	-0.1	0.0217	0.0028
2.475	0	0.0227	0.0028
2.475	0.1	0.0367	0.0035
2.475	0.2	0.0525	0.0045
2.475	0.3	0.0772	0.0055
2.485	0.37	0.0858	0.008
2.485	0.42	0.1083	0.0098
2.485	0.47	0.1225	0.0113
2.485	0.53	0.1661	0.0143
2.485	0.57	0.1911	0.016
2.485	0.62	0.2408	0.019
2.485	0.67	0.3314	0.0261
2.485	0.72	0.3632	0.0282
2.485	0.78	0.5274	0.0377
2.485	0.82	0.6366	0.0415
2.485	0.88	1.0137	0.0608
2.485	0.92	1.279	0.1118
2.485	-0.8	0.009	0.0054
2.485	-0.7	0.0085	0.0028
2.485	-0.6	0.0065	0.002
2.485	-0.5	0.0087	0.0021
2.485	-0.4	0.0108	0.0024
2.485	-0.3	0.0117	0.0023
2.485	-0.2	0.0173	0.0026
2.485	-0.1	0.019	0.0027
2.485	0	0.0236	0.0027
2.485	0.1	0.0333	0.0032
2.485	0.2	0.0527	0.0042
2.485	0.3	0.0696	0.0049
2.495	0.37	0.086	0.0086
2.495	0.42	0.099	0.009
2.495	0.47	0.1082	0.0103
2.495	0.53	0.1493	0.0132
2.495	0.57	0.1862	0.0161
2.495	0.62	0.2219	0.0182
2.495	0.67	0.3031	0.0238
2.495	0.72	0.3898	0.0313
2.495	0.78	0.5365	0.0393
2.495	0.82	0.6781	0.0454
2.495	0.88	0.924	0.0576
2.495	0.92	1.0674	0.0954
2.495	-0.79	0.0102	0.0046
2.495	-0.7	0.0045	0.0023
2.495	-0.6	0.0077	0.0023
2.495	-0.5	0.0065	0.0018
2.495	-0.4	0.0093	0.0023
2.495	-0.3	0.0067	0.0017
2.495	-0.2	0.0125	0.0023
2.495	-0.1	0.0133	0.0021
2.495	0	0.0163	0.0023
2.495	0.1	0.0213	0.0025
2.495	0.2	0.0416	0.0038
2.495	0.3	0.063	0.0047
2.505	0.37	0.0784	0.0077
2.505	0.42	0.0884	0.0087
2.505	0.47	0.1056	0.0101
2.505	0.53	0.1211	0.0127
2.505	0.57	0.1972	0.0166
2.505	0.62	0.2242	0.018
2.505	0.67	0.2752	0.0217
2.505	0.72	0.4116	0.0324
2.505	0.78	0.5716	0.0407
2.505	0.82	0.755	0.0494
2.505	0.88	0.9841	0.0577
2.505	0.92	1.1507	0.0876
2.505	-0.8	0.0058	0.0031
2.505	-0.7	0.0056	0.0021
2.505	-0.59	0.0053	0.0019
2.505	-0.5	0.0063	0.0019
2.505	-0.4	0.0118	0.0025
2.505	-0.3	0.0121	0.0022
2.505	-0.2	0.0169	0.0026
2.505	-0.1	0.0177	0.0025
2.505	0	0.0225	0.0027
2.505	0.1	0.0291	0.003
2.505	0.2	0.0468	0.0041
2.505	0.3	0.0545	0.0043
2.515	0.37	0.0804	0.008
2.515	0.42	0.0859	0.0083
2.515	0.47	0.1046	0.0107
2.515	0.53	0.1501	0.0136
2.515	0.57	0.167	0.0147
2.515	0.62	0.2203	0.0186
2.515	0.67	0.2732	0.0214
2.515	0.72	0.3517	0.0305
2.515	0.78	0.5097	0.038
2.515	0.82	0.7042	0.0464
2.515	0.88	1.0079	0.0636
2.515	0.92	1.2909	0.0962
2.515	-0.8	0.0069	0.0068
2.515	-0.7	0.006	0.0021
2.515	-0.6	0.0062	0.0019
2.515	-0.5	0.0084	0.0021
2.515	-0.4	0.0078	0.002
2.515	-0.3	0.0107	0.0021
2.515	-0.2	0.0133	0.0023
2.515	-0.1	0.0115	0.0019
2.515	0	0.0162	0.0023
2.515	0.1	0.0261	0.0029
2.515	0.2	0.0375	0.0037
2.515	0.3	0.0544	0.0044
2.525	0.37	0.0732	0.0078
2.525	0.42	0.0801	0.0092
2.525	0.47	0.113	0.012
2.525	0.53	0.1454	0.0145
2.525	0.57	0.181	0.0161
2.525	0.62	0.2458	0.0208
2.525	0.67	0.312	0.0266
2.525	0.72	0.3994	0.034
2.525	0.78	0.6132	0.0439
2.525	0.82	0.7749	0.0502
2.525	0.88	0.9837	0.0624
2.525	0.92	1.2787	0.1029
2.525	-0.79	0.0108	0.0051
2.525	-0.7	0.0097	0.0033
2.525	-0.6	0.0067	0.0022
2.525	-0.5	0.0072	0.002
2.525	-0.4	0.0092	0.0023
2.525	-0.3	0.0143	0.0026
2.525	-0.2	0.0112	0.0022
2.525	-0.1	0.015	0.0024
2.525	0	0.0178	0.0025
2.525	0.1	0.0264	0.0031
2.525	0.2	0.0427	0.0043
2.525	0.3	0.0581	0.0048
2.535	0.37	0.0839	0.0088
2.535	0.42	0.102	0.0099
2.535	0.47	0.1174	0.0114
2.535	0.53	0.1443	0.0146
2.535	0.57	0.1916	0.0173
2.535	0.62	0.2371	0.0199
2.535	0.67	0.3107	0.0265
2.535	0.72	0.4268	0.0338
2.535	0.78	0.5961	0.0431
2.535	0.82	0.7357	0.0488
2.535	0.88	1.0674	0.0643
2.535	0.92	1.4336	0.1074
2.535	-0.8	0.0054	0.0031
2.535	-0.7	0.0094	0.0028
2.535	-0.6	0.0046	0.0016
2.535	-0.5	0.0039	0.0014
2.535	-0.4	0.0087	0.0022
2.535	-0.3	0.0093	0.002
2.535	-0.2	0.0125	0.0022
2.535	-0.1	0.0142	0.0023
2.535	0	0.0177	0.0024
2.535	0.1	0.0251	0.0029
2.535	0.2	0.0396	0.0037
2.535	0.3	0.0656	0.005
2.545	0.37	0.0828	0.0086
2.545	0.42	0.1046	0.0104
2.545	0.47	0.1112	0.0123
2.545	0.53	0.1606	0.016
2.545	0.57	0.2364	0.0189
2.545	0.62	0.277	0.0219
2.545	0.67	0.3646	0.0277
2.545	0.72	0.4428	0.0323
2.545	0.78	0.5651	0.0389
2.545	0.82	0.8978	0.053
2.545	0.88	1.1293	0.0672
2.545	0.92	1.4657	0.104
2.545	-0.79	0.004	0.0027
2.545	-0.7	0.0057	0.0023
2.545	-0.6	0.0054	0.0018
2.545	-0.5	0.0044	0.0016
2.545	-0.4	0.0089	0.0021
2.545	-0.3	0.0105	0.0022
2.545	-0.2	0.0116	0.0022
2.545	-0.1	0.0121	0.0021
2.545	0	0.0168	0.0023
2.545	0.1	0.0278	0.003
2.545	0.2	0.0401	0.004
2.545	0.3	0.0639	0.005
2.555	0.37	0.0906	0.0091
2.555	0.42	0.0863	0.0093
2.555	0.47	0.1005	0.0104
2.555	0.53	0.1778	0.0165
2.555	0.57	0.2145	0.0172
2.555	0.62	0.2674	0.0215
2.555	0.67	0.3384	0.0261
2.555	0.72	0.4549	0.0343
2.555	0.78	0.6159	0.0434
2.555	0.82	0.8055	0.0508
2.555	0.88	1.14	0.0673
2.555	0.92	1.5381	0.108
2.555	-0.8	0.0055	0.0034
2.555	-0.69	0.0032	0.0019
2.555	-0.6	0.0052	0.0022
2.555	-0.5	0.0044	0.0016
2.555	-0.4	0.0085	0.0022
2.555	-0.3	0.0074	0.0019
2.555	-0.2	0.0098	0.002
2.555	-0.1	0.0126	0.0023
2.555	0	0.0159	0.0023
2.555	0.1	0.0227	0.0027
2.555	0.2	0.0395	0.004
2.555	0.3	0.0604	0.0051
2.565	0.37	0.0711	0.0076
2.565	0.42	0.1014	0.0097
2.565	0.47	0.1157	0.0116
2.565	0.53	0.1599	0.0152
2.565	0.57	0.2045	0.0161
2.565	0.62	0.249	0.0195
2.565	0.67	0.3622	0.0272
2.565	0.72	0.4429	0.0322
2.565	0.78	0.6837	0.0474
2.565	0.82	0.8435	0.0533
2.565	0.88	1.2091	0.0682
2.565	0.92	1.575	0.1086
2.565	-0.8	0.0065	0.0042
2.565	-0.7	0.0044	0.0021
2.565	-0.6	0.0048	0.0017
2.565	-0.5	0.0041	0.0014
2.565	-0.4	0.006	0.0017
2.565	-0.3	0.0092	0.002
2.565	-0.2	0.0104	0.0021
2.565	-0.1	0.0124	0.002
2.565	0	0.0144	0.0021
2.565	0.1	0.0233	0.0028
2.565	0.2	0.037	0.0037
2.565	0.3	0.0533	0.0044
2.575	0.37	0.0718	0.0078
2.575	0.42	0.0808	0.0086
2.575	0.47	0.1193	0.0115
2.575	0.53	0.1502	0.0148
2.575	0.57	0.1783	0.0163
2.575	0.62	0.2418	0.0203
2.575	0.67	0.3131	0.0257
2.575	0.72	0.4321	0.0321
2.575	0.78	0.6336	0.0445
2.575	0.82	0.7392	0.0487
2.575	0.88	1.0839	0.0671
2.575	0.93	1.2038	0.1467
2.575	-0.79	0.0133	0.005
2.575	-0.69	0.0042	0.0019
2.575	-0.59	0.0052	0.002
2.575	-0.5	0.0058	0.0019
2.575	-0.4	0.0036	0.0014
2.575	-0.3	0.0067	0.0016
2.575	-0.2	0.0083	0.0018
2.575	-0.1	0.0116	0.002
2.575	0	0.0145	0.0021
2.575	0.1	0.0174	0.0023
2.575	0.2	0.0352	0.0037
2.575	0.3	0.0489	0.0043
2.585	0.37	0.0691	0.0074
2.585	0.42	0.0792	0.0084
2.585	0.47	0.0977	0.0105
2.585	0.53	0.1223	0.0124
2.585	0.57	0.1656	0.0147
2.585	0.62	0.2264	0.0199
2.585	0.67	0.2925	0.0244
2.585	0.72	0.3963	0.0323
2.585	0.78	0.5756	0.0406
2.585	0.82	0.6384	0.043
2.585	0.88	1.1066	0.0697
2.585	0.92	1.6329	0.1183
2.585	-0.8	0.006	0.0041
2.585	-0.7	0.0038	0.0021
2.585	-0.6	0.0031	0.0015
2.585	-0.51	0.0029	0.0015
2.585	-0.4	0.0033	0.0014
2.585	-0.3	0.0051	0.0015
2.585	-0.2	0.007	0.0017
2.585	-0.1	0.0099	0.0019
2.585	0	0.0136	0.0021
2.585	0.1	0.0189	0.0025
2.585	0.2	0.0294	0.0032
2.585	0.3	0.0559	0.0045
2.595	0.37	0.0548	0.0071
2.595	0.42	0.0739	0.009
2.595	0.47	0.0984	0.0107
2.595	0.53	0.1385	0.0139
2.595	0.57	0.1718	0.0154
2.595	0.62	0.2181	0.0186
2.595	0.67	0.276	0.0233
2.595	0.72	0.3855	0.0302
2.595	0.78	0.5456	0.0401
2.595	0.82	0.6794	0.0466
2.595	0.88	1.056	0.0648
2.595	0.93	1.5573	0.3701
2.595	-0.78	0.0033	0.0055
2.595	-0.7	0.0033	0.0021
2.595	-0.6	0.0034	0.0018
2.595	-0.5	0.0032	0.0014
2.595	-0.4	0.0024	0.0013
2.595	-0.3	0.0044	0.0015
2.595	-0.2	0.0051	0.0015
2.595	-0.1	0.0076	0.0017
2.595	0	0.0107	0.002
2.595	0.1	0.0135	0.0021
2.595	0.2	0.0289	0.0035
2.595	0.3	0.042	0.0041
2.605	0.37	0.0486	0.0052
2.605	0.42	0.0691	0.0072
2.605	0.47	0.0817	0.0076
2.605	0.53	0.1099	0.0104
2.605	0.57	0.1476	0.0126
2.605	0.62	0.2071	0.0161
2.605	0.67	0.2392	0.0196
2.605	0.72	0.3729	0.0277
2.605	0.78	0.4744	0.0343
2.605	0.82	0.638	0.0445
2.605	0.88	1.0254	0.0627
2.605	0.92	1.6355	0.1135
2.605	-0.8	0.0036	0.0025
2.605	-0.69	0.0023	0.0013
2.605	-0.6	0.002	0.0009
2.605	-0.5	0.0021	0.0008
2.605	-0.4	0.0038	0.0012
2.605	-0.3	0.0044	0.001
2.605	-0.2	0.0052	0.0011
2.605	-0.1	0.0074	0.0012
2.605	0	0.0074	0.0012
2.605	0.1	0.0165	0.0018
2.605	0.2	0.0212	0.0021
2.605	0.3	0.0347	0.0029
2.615	0.37	0.0595	0.0059
2.615	0.42	0.0818	0.0076
2.615	0.47	0.0917	0.0086
2.615	0.53	0.1227	0.0116
2.615	0.57	0.1594	0.0125
2.615	0.62	0.1959	0.0162
2.615	0.67	0.2975	0.0219
2.615	0.72	0.4208	0.03
2.615	0.78	0.5269	0.034
2.615	0.82	0.7967	0.0506
2.615	0.88	1.0934	0.0673
2.615	0.93	1.453	0.1659
2.615	-0.79	0.0087	0.0033
2.615	-0.7	0.007	0.0021
2.615	-0.6	0.0039	0.0012
2.615	-0.5	0.0037	0.0011
2.615	-0.4	0.0051	0.0013
2.615	-0.3	0.0051	0.0012
2.615	-0.2	0.0066	0.0012
2.615	-0.1	0.0073	0.0013
2.615	0	0.0093	0.0014
2.615	0.1	0.0158	0.0018
2.615	0.2	0.0285	0.0026
2.615	0.3	0.0444	0.0033
2.625	0.37	0.0527	0.0062
2.625	0.42	0.0676	0.0072
2.625	0.47	0.0907	0.0096
2.625	0.53	0.0995	0.0101
2.625	0.57	0.1502	0.0131
2.625	0.62	0.2131	0.0176
2.625	0.67	0.2946	0.0231
2.625	0.72	0.4415	0.0318
2.625	0.78	0.5435	0.037
2.625	0.82	0.7842	0.0484
2.625	0.88	1.2171	0.0783
2.625	0.93	1.4969	0.1446
2.625	-0.8	0.0079	0.0042
2.625	-0.69	0.0045	0.002
2.625	-0.59	0.0031	0.0014
2.625	-0.5	0.0064	0.0017
2.625	-0.4	0.0037	0.0013
2.625	-0.3	0.0061	0.0014
2.625	-0.2	0.0055	0.0013
2.625	-0.1	0.0076	0.0015
2.625	0	0.0077	0.0014
2.625	0.1	0.0116	0.0017
2.625	0.2	0.0212	0.0025
2.625	0.3	0.0355	0.0034
2.635	0.37	0.0544	0.0059
2.635	0.42	0.0724	0.0076
2.635	0.47	0.0681	0.0083
2.635	0.53	0.1192	0.0118
