CLAS physics database search results
Measurement E63M2

Curtis A. Meyer
0

W	cos(theta)	dsigma/dcos(theta)	Data errors
GeV	dimensionless	mcb	mcb
2.185	0.42	0.1423	0.0121
2.185	0.47	0.1449	0.0122
2.185	0.53	0.1972	0.0142
2.185	0.57	0.2143	0.0158
2.185	0.62	0.2889	0.0194
2.185	0.67	0.3154	0.0206
2.185	0.72	0.4061	0.0247
2.185	0.78	0.4251	0.0287
2.185	0.82	0.5497	0.0375
2.185	0.88	0.6875	0.0509
2.185	0.93	1.0472	0.1739
2.185	-0.79	0.0232	0.0082
2.185	-0.7	0.0323	0.0065
2.185	-0.6	0.0352	0.0063
2.185	-0.5	0.0485	0.0068
2.185	-0.4	0.0487	0.0064
2.185	-0.3	0.0582	0.0064
2.185	-0.2	0.055	0.0061
2.185	-0.1	0.0547	0.0057
2.185	0	0.0625	0.0058
2.185	0.1	0.0644	0.0056
2.185	0.2	0.0774	0.0058
2.185	0.3	0.1063	0.007
2.195	0.37	0.1344	0.0125
2.195	0.42	0.1493	0.013
2.195	0.47	0.1807	0.0155
2.195	0.53	0.2144	0.0173
2.195	0.57	0.2561	0.0187
2.195	0.62	0.3035	0.0215
2.195	0.67	0.3785	0.026
2.195	0.72	0.3974	0.0261
2.195	0.78	0.471	0.0322
2.195	0.82	0.5835	0.0425
2.195	0.88	0.7165	0.0556
2.195	0.93	0.9644	0.1457
2.195	-0.8	0.0187	0.013
2.195	-0.7	0.0369	0.0083
2.195	-0.6	0.039	0.0073
2.195	-0.5	0.0456	0.0074
2.195	-0.4	0.0484	0.0068
2.195	-0.3	0.0561	0.0067
2.195	-0.2	0.045	0.0058
2.195	-0.1	0.0537	0.006
2.195	0	0.056	0.0058
2.195	0.1	0.0661	0.0061
2.195	0.2	0.0904	0.0067
2.195	0.3	0.1091	0.0079
2.205	0.37	0.1586	0.0131
2.205	0.42	0.1816	0.0139
2.205	0.47	0.1921	0.0157
2.205	0.53	0.2216	0.0173
2.205	0.57	0.2738	0.0205
2.205	0.62	0.309	0.022
2.205	0.67	0.3525	0.0242
2.205	0.72	0.4324	0.0304
2.205	0.78	0.5058	0.0364
2.205	0.82	0.6148	0.0463
2.205	0.88	0.6983	0.0593
2.205	0.93	1.0079	0.1464
2.205	-0.79	0.0341	0.0113
2.205	-0.7	0.0336	0.0073
2.205	-0.6	0.0466	0.0071
2.205	-0.5	0.0407	0.0066
2.205	-0.4	0.0499	0.007
2.205	-0.3	0.0611	0.0072
2.205	-0.2	0.0546	0.0064
2.205	-0.1	0.0599	0.0063
2.205	0	0.0616	0.0062
2.205	0.1	0.0762	0.0064
2.205	0.2	0.0901	0.0067
2.205	0.3	0.1219	0.0082
2.215	0.37	0.1211	0.0102
2.215	0.42	0.1537	0.0118
2.215	0.47	0.1841	0.0142
2.215	0.53	0.2176	0.0148
2.215	0.57	0.2486	0.0163
2.215	0.62	0.2886	0.0187
2.215	0.67	0.3444	0.0252
2.215	0.72	0.4424	0.0295
2.215	0.78	0.5116	0.0355
2.215	0.82	0.6161	0.0453
2.215	0.88	0.7987	0.0639
2.215	0.92	1.0739	0.1114
2.215	-0.79	0.0202	0.0065
2.215	-0.7	0.0338	0.0063
2.215	-0.6	0.0278	0.0052
